epoch,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,med_scaling,std_scaling
0,0.145,0.996,5.085,0.210,0.821,0.948,0.981,44.803,0.098
1,0.135,1.014,4.944,0.201,0.846,0.954,0.981,39.116,0.102
2,0.120,0.815,5.018,0.198,0.849,0.953,0.982,36.544,0.087
3,0.121,0.883,4.911,0.198,0.860,0.954,0.980,36.870,0.094
4,0.122,0.885,4.953,0.198,0.861,0.955,0.981,36.372,0.095
5,0.123,0.953,4.950,0.197,0.865,0.957,0.981,36.557,0.085
6,0.121,0.947,4.899,0.195,0.867,0.958,0.981,34.959,0.090
7,0.118,0.893,4.833,0.195,0.872,0.958,0.981,35.136,0.094
8,0.124,0.965,4.897,0.198,0.866,0.958,0.981,33.461,0.095
9,0.117,0.852,4.776,0.192,0.875,0.960,0.982,34.924,0.085
10,0.121,0.906,4.866,0.198,0.871,0.958,0.981,33.353,0.095
11,0.123,0.957,4.901,0.197,0.868,0.958,0.981,33.287,0.097
12,0.117,0.839,4.817,0.196,0.869,0.958,0.981,32.659,0.096
13,0.127,1.046,5.046,0.201,0.866,0.957,0.980,32.093,0.096
14,0.116,0.888,4.836,0.194,0.875,0.959,0.981,32.262,0.092
15,0.116,0.893,4.862,0.195,0.875,0.959,0.981,32.029,0.094
16,0.115,0.865,4.829,0.194,0.875,0.959,0.981,31.961,0.094
17,0.117,0.906,4.879,0.196,0.875,0.959,0.981,31.503,0.096
18,0.116,0.885,4.837,0.195,0.875,0.959,0.981,31.598,0.095
19,0.115,0.869,4.831,0.194,0.876,0.959,0.981,31.294,0.094
