epoch,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,med_scaling,std_scaling
0,0.137,0.916,5.122,0.210,0.816,0.948,0.981,40.051,0.128
1,0.128,0.872,4.900,0.200,0.846,0.954,0.982,35.699,0.106
2,0.123,0.885,4.775,0.195,0.861,0.956,0.981,33.727,0.112
3,0.120,0.821,4.960,0.198,0.855,0.955,0.982,32.369,0.108
4,0.122,0.874,4.794,0.194,0.866,0.959,0.982,32.076,0.102
5,0.115,0.762,4.765,0.191,0.867,0.959,0.983,31.927,0.102
6,0.114,0.785,4.671,0.189,0.874,0.960,0.982,32.438,0.099
7,0.112,0.767,4.676,0.189,0.875,0.960,0.982,31.682,0.102
8,0.114,0.798,4.683,0.189,0.875,0.960,0.983,31.385,0.101
9,0.117,0.829,4.675,0.191,0.876,0.961,0.982,30.427,0.103
10,0.115,0.822,4.704,0.188,0.875,0.961,0.983,30.932,0.101
11,0.117,0.844,4.677,0.191,0.872,0.960,0.982,30.903,0.104
12,0.117,0.888,4.713,0.191,0.876,0.960,0.982,30.308,0.100
13,0.117,0.845,4.705,0.192,0.876,0.960,0.982,29.908,0.099
14,0.114,0.825,4.683,0.190,0.879,0.961,0.982,30.149,0.102
15,0.114,0.841,4.686,0.190,0.880,0.961,0.982,29.964,0.101
16,0.113,0.810,4.653,0.189,0.880,0.961,0.982,29.874,0.100
17,0.113,0.829,4.679,0.189,0.881,0.961,0.982,29.844,0.101
18,0.113,0.811,4.667,0.189,0.879,0.961,0.982,29.747,0.102
19,0.114,0.835,4.688,0.189,0.879,0.961,0.982,29.541,0.101
