epoch,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,med_scaling,std_scaling
0,0.141,0.922,4.929,0.204,0.823,0.952,0.983,39.403,0.153
1,0.122,0.775,4.688,0.191,0.860,0.958,0.983,38.382,0.129
2,0.110,0.725,4.640,0.187,0.872,0.959,0.983,35.941,0.114
3,0.109,0.775,4.551,0.182,0.881,0.962,0.983,34.677,0.121
4,0.121,0.929,4.756,0.193,0.869,0.957,0.981,34.333,0.098
5,0.103,0.691,4.349,0.177,0.890,0.964,0.984,34.592,0.099
6,0.104,0.701,4.470,0.177,0.891,0.964,0.985,35.063,0.105
7,0.099,0.714,4.316,0.174,0.898,0.965,0.984,33.890,0.103
8,0.101,0.744,4.384,0.178,0.896,0.964,0.983,33.126,0.104
9,0.102,0.712,4.376,0.176,0.898,0.965,0.984,35.001,0.111
10,0.102,0.724,4.351,0.175,0.896,0.965,0.984,33.665,0.101
11,0.098,0.680,4.523,0.179,0.891,0.963,0.983,32.153,0.106
12,0.102,0.811,4.591,0.181,0.894,0.961,0.982,33.455,0.106
13,0.106,0.740,4.472,0.179,0.895,0.963,0.983,33.679,0.110
14,0.096,0.710,4.324,0.174,0.900,0.965,0.984,31.741,0.105
15,0.099,0.694,4.320,0.176,0.897,0.964,0.983,32.196,0.101
16,0.098,0.680,4.275,0.175,0.900,0.965,0.984,32.151,0.103
17,0.097,0.714,4.327,0.174,0.902,0.965,0.984,32.140,0.101
18,0.096,0.712,4.358,0.175,0.901,0.965,0.983,32.254,0.103
19,0.096,0.681,4.332,0.176,0.900,0.963,0.983,31.984,0.104
