Model,Corruption,Severity,AbsRel,SqRel,RMSE,RMSE_log,a1,a2,a3
Baseline_KITTI_weights19,Clean,0,0.11594194475256729,0.8785181810686544,4.837438132704758,0.1943236365486765,0.8758956566920474,0.9592663697577598,0.9810505382507396
NuScenes_Model_weights19,Clean,0,0.19844191580198417,1.6685672845782302,6.253886293817627,0.2679551809897895,0.7241231133788687,0.9063358686862275,0.9631240551280053
Baseline_KITTI_weights19,Clean,0,0.11594194475256729,0.8785181810686544,4.837438132704758,0.1943236365486765,0.8758956566920474,0.9592663697577598,0.9810505382507396
NuScenes_Model_weights19,Clean,0,0.19844191580198417,1.6685672845782302,6.253886293817627,0.2679551809897895,0.7241231133788687,0.9063358686862275,0.9631240551280053
Baseline_KITTI_weights19,Clean,0,0.11594194475256729,0.8785181810686544,4.837438132704758,0.1943236365486765,0.8758956566920474,0.9592663697577598,0.9810505382507396
NuScenes_Model_weights19,Clean,0,0.19844191580198417,1.6685672845782302,6.253886293817627,0.2679551809897895,0.7241231133788687,0.9063358686862275,0.9631240551280053
Baseline_KITTI_weights19,Clean,0,0.11594194475256729,0.8785181810686544,4.837438132704758,0.1943236365486765,0.8758956566920474,0.9592663697577598,0.9810505382507396
Baseline_KITTI_weights19,brightness,1,0.11633312915434454,0.8859962879692123,4.839366314486417,0.19432763010263443,0.8743235492253446,0.9594384088104593,0.9811578255583484
Baseline_KITTI_weights19,brightness,3,0.12088904537292601,0.9409833079153188,4.988452356207149,0.1996609008252364,0.8614879562870726,0.9561471545123539,0.9804124820725496
Baseline_KITTI_weights19,brightness,5,0.12832279434932697,0.9794208004835517,5.229545955165387,0.20949270046039498,0.8408133100238846,0.9486407012175427,0.9782794963014568
Baseline_KITTI_weights19,contrast,1,0.12267458349081502,0.9637366788972228,5.075683724931528,0.20308714859198293,0.859834981739998,0.953799718851238,0.9792403176269854
Baseline_KITTI_weights19,contrast,3,0.14333250278465376,1.1268226877389371,5.620972293521274,0.22819420559548237,0.8150808246516985,0.9376419768457845,0.9732819594782894
Baseline_KITTI_weights19,contrast,5,0.25408574223646646,2.2212049325278707,8.619577214912841,0.3733342413281437,0.5556002926912248,0.8253079480834314,0.9149676984190814
Baseline_KITTI_weights19,defocus_blur,1,0.12962945096376466,1.0428842899831843,5.332024273434533,0.21235721063408652,0.8459726234402362,0.9476969657128678,0.9763508932916071
Baseline_KITTI_weights19,defocus_blur,3,0.19384124511091233,1.6106388126226032,7.077314729498996,0.3028929440392825,0.7015853669526417,0.8780935486245272,0.9438281116719774
Baseline_KITTI_weights19,defocus_blur,5,0.2863325372958286,2.723294570806892,8.88467344885406,0.40635170231718926,0.5356938386325275,0.7740921884344816,0.8899382529724823
Baseline_KITTI_weights19,fog,1,0.12780925408647084,0.9953523139914275,5.2083267377130955,0.2093110945145232,0.8466854273345479,0.9495308918039619,0.97815535176998
Baseline_KITTI_weights19,fog,3,0.13859174219381004,1.0669792222455037,5.536287503057778,0.22397898325704604,0.822697222594673,0.9395180168175971,0.9747722175083311
Baseline_KITTI_weights19,fog,5,0.14950995871976253,1.154374105708842,5.747889820438204,0.23550906703624355,0.7993989897082266,0.9318498342952791,0.9717655573830072
Baseline_KITTI_weights19,motion_blur,1,0.1217795337471507,0.9671287708080653,5.056240037489827,0.20175904620283816,0.8648718261614605,0.9553319587279129,0.9793723933304663
Baseline_KITTI_weights19,motion_blur,3,0.1407292675777436,1.1197827848975936,5.865196634570358,0.23159111670647325,0.8119178522759779,0.933336745908161,0.9711734103303845
Baseline_KITTI_weights19,motion_blur,5,0.1885818206468648,1.650930610884895,7.325590717741202,0.29867184227345833,0.7062594981282229,0.8792393202966196,0.9433129698524767
NuScenes_Model_weights19,Clean,0,0.19844191580198417,1.6685672845782302,6.253886293817627,0.2679551809897895,0.7241231133788687,0.9063358686862275,0.9631240551280053
NuScenes_Model_weights19,brightness,1,0.19379951470295018,1.6182590996261306,6.222806099326573,0.2652295987246026,0.7313263864045366,0.9099863845538001,0.9636067518086645
NuScenes_Model_weights19,brightness,3,0.19226932427291377,1.5381640558861933,6.260759470965633,0.2664401311336494,0.7238980444517954,0.9087571925212862,0.9643118649777297
NuScenes_Model_weights19,brightness,5,0.20770969255753877,1.6488821681594232,6.781822992534172,0.29005277637857274,0.6816403541729409,0.8869214901548594,0.9555343905452809
NuScenes_Model_weights19,contrast,1,0.2031311999733855,1.680725409917886,6.374820640644692,0.2727795744814524,0.7106674148430818,0.9037728946335439,0.9614175037517865
NuScenes_Model_weights19,contrast,3,0.2189537244641798,1.793036558300556,6.779831357888204,0.29578544054089523,0.6699115158281104,0.882808531135356,0.9517989183794527
NuScenes_Model_weights19,contrast,5,0.2624337095954326,2.370208707610025,8.738741002260697,0.3755080663469464,0.5625957633478964,0.8065766422945437,0.9102679401341541
NuScenes_Model_weights19,defocus_blur,1,0.25435432663435914,2.458855237646117,7.280666902896493,0.3202175954022743,0.6201940922514968,0.8571842112540365,0.941752930178964
NuScenes_Model_weights19,defocus_blur,3,0.2784376050769171,2.7219774263618324,7.714447249641036,0.34724010589133036,0.5719943620109328,0.8288687340936691,0.9296822742265998
NuScenes_Model_weights19,defocus_blur,5,0.28351688022635757,2.610981391611879,7.950192662701546,0.36146079726420993,0.5464441170375416,0.8165866547725831,0.9239084686070741
NuScenes_Model_weights19,fog,1,0.2029133973111381,1.6786478601364014,6.334257927737927,0.2712168330206419,0.7120968063855608,0.9048206317475472,0.9621410923839964
NuScenes_Model_weights19,fog,3,0.21461968914935714,1.770937641582838,6.574164768801187,0.28592948100317156,0.6839285485710765,0.8905728668512434,0.9561817825798975
NuScenes_Model_weights19,fog,5,0.2259212645195649,1.9563205367224117,6.912825290749713,0.29991952379045733,0.66436715778777,0.8760779330152493,0.9486477555491812
NuScenes_Model_weights19,motion_blur,1,0.21027055057767816,1.7393143330533671,6.476145889700913,0.2838331929259697,0.6901574111769201,0.8924547217804285,0.9569532715500738
NuScenes_Model_weights19,motion_blur,3,0.23325209212696535,2.02868005530735,7.239062829886482,0.31668591181850503,0.6359228984194943,0.864139944119586,0.9425056124859816
